py5_name,processing_name,decorator,special_kwargs,type,implementation_from_processing,available_in_py5,comments
SPOT,SPOT,,,static field,FALSE,FALSE,
BACKSPACE,BACKSPACE,,,static field,FALSE,FALSE,
TAB,TAB,,,static field,FALSE,FALSE,
ENTER,ENTER,,,static field,FALSE,FALSE,
RETURN,RETURN,,,static field,FALSE,FALSE,
ESC,ESC,,,static field,FALSE,FALSE,
DELETE,DELETE,,,static field,FALSE,FALSE,
CODED,CODED,,,static field,FALSE,FALSE,
UP,UP,,,static field,FALSE,FALSE,
DOWN,DOWN,,,static field,FALSE,FALSE,
LEFT,LEFT,,,static field,FALSE,FALSE,
RIGHT,RIGHT,,,static field,FALSE,FALSE,
ALT,ALT,,,static field,FALSE,FALSE,
CONTROL,CONTROL,,,static field,FALSE,FALSE,
SHIFT,SHIFT,,,static field,FALSE,FALSE,
PORTRAIT,PORTRAIT,,,static field,FALSE,FALSE,
LANDSCAPE,LANDSCAPE,,,static field,FALSE,FALSE,
SPAN,SPAN,,,static field,FALSE,FALSE,
ARROW,ARROW,,,static field,FALSE,FALSE,
CROSS,CROSS,,,static field,FALSE,FALSE,
HAND,HAND,,,static field,FALSE,FALSE,
MOVE,MOVE,,,static field,FALSE,FALSE,
TEXT,TEXT,,,static field,FALSE,FALSE,
WAIT,WAIT,,,static field,FALSE,FALSE,
ENABLE_NATIVE_FONTS,ENABLE_NATIVE_FONTS,,,static field,FALSE,FALSE,
DISABLE_NATIVE_FONTS,DISABLE_NATIVE_FONTS,,,static field,FALSE,FALSE,
DISABLE_DEPTH_TEST,DISABLE_DEPTH_TEST,,,static field,FALSE,FALSE,
ENABLE_DEPTH_TEST,ENABLE_DEPTH_TEST,,,static field,FALSE,FALSE,
ENABLE_DEPTH_SORT,ENABLE_DEPTH_SORT,,,static field,FALSE,FALSE,
DISABLE_DEPTH_SORT,DISABLE_DEPTH_SORT,,,static field,FALSE,FALSE,
DISABLE_OPENGL_ERRORS,DISABLE_OPENGL_ERRORS,,,static field,FALSE,FALSE,
ENABLE_OPENGL_ERRORS,ENABLE_OPENGL_ERRORS,,,static field,FALSE,FALSE,
DISABLE_DEPTH_MASK,DISABLE_DEPTH_MASK,,,static field,FALSE,FALSE,
ENABLE_DEPTH_MASK,ENABLE_DEPTH_MASK,,,static field,FALSE,FALSE,
DISABLE_OPTIMIZED_STROKE,DISABLE_OPTIMIZED_STROKE,,,static field,FALSE,FALSE,
ENABLE_OPTIMIZED_STROKE,ENABLE_OPTIMIZED_STROKE,,,static field,FALSE,FALSE,
ENABLE_STROKE_PERSPECTIVE,ENABLE_STROKE_PERSPECTIVE,,,static field,FALSE,FALSE,
DISABLE_STROKE_PERSPECTIVE,DISABLE_STROKE_PERSPECTIVE,,,static field,FALSE,FALSE,
DISABLE_TEXTURE_MIPMAPS,DISABLE_TEXTURE_MIPMAPS,,,static field,FALSE,FALSE,
ENABLE_TEXTURE_MIPMAPS,ENABLE_TEXTURE_MIPMAPS,,,static field,FALSE,FALSE,
ENABLE_STROKE_PURE,ENABLE_STROKE_PURE,,,static field,FALSE,FALSE,
DISABLE_STROKE_PURE,DISABLE_STROKE_PURE,,,static field,FALSE,FALSE,
ENABLE_BUFFER_READING,ENABLE_BUFFER_READING,,,static field,FALSE,FALSE,
DISABLE_BUFFER_READING,DISABLE_BUFFER_READING,,,static field,FALSE,FALSE,
DISABLE_KEY_REPEAT,DISABLE_KEY_REPEAT,,,static field,FALSE,FALSE,
ENABLE_KEY_REPEAT,ENABLE_KEY_REPEAT,,,static field,FALSE,FALSE,
DISABLE_ASYNC_SAVEFRAME,DISABLE_ASYNC_SAVEFRAME,,,static field,FALSE,FALSE,
ENABLE_ASYNC_SAVEFRAME,ENABLE_ASYNC_SAVEFRAME,,,static field,FALSE,FALSE,
HINT_COUNT,HINT_COUNT,,,static field,FALSE,FALSE,
gl_program,glProgram,,,dynamic variable,FALSE,FALSE,
gl_vertex,glVertex,,,dynamic variable,FALSE,FALSE,
gl_fragment,glFragment,,,dynamic variable,FALSE,FALSE,
wait,wait,,,method,FALSE,FALSE,
equals,equals,,,method,FALSE,FALSE,
to_string,toString,,,method,FALSE,FALSE,
hash_code,hashCode,,,method,FALSE,FALSE,
get_class,getClass,,,method,FALSE,FALSE,
notify,notify,,,method,FALSE,FALSE,
notify_all,notifyAll,,,method,FALSE,FALSE,
set,set,@_py5shader_set_wrapper,,method,TRUE,TRUE,
init,init,,,method,FALSE,FALSE,
bound,bound,,,method,FALSE,FALSE,
set_vertex_shader,setVertexShader,,,method,FALSE,FALSE,
set_fragment_shader,setFragmentShader,,,method,FALSE,FALSE,
unbind,unbind,,,method,FALSE,FALSE,
bind,bind,,,method,FALSE,FALSE,
