py5_name,processing_name,decorator,type,implementation,comments
ROUND,ROUND,,static field,JAVA,
PROJECT,PROJECT,,static field,JAVA,
MITER,MITER,,static field,JAVA,
BEVEL,BEVEL,,static field,JAVA,
AMBIENT,AMBIENT,,static field,JAVA,
DIRECTIONAL,DIRECTIONAL,,static field,JAVA,
SPOT,SPOT,,static field,JAVA,
BACKSPACE,BACKSPACE,,static field,JAVA,
TAB,TAB,,static field,JAVA,
ENTER,ENTER,,static field,JAVA,
RETURN,RETURN,,static field,JAVA,
ESC,ESC,,static field,JAVA,
DELETE,DELETE,,static field,JAVA,
CODED,CODED,,static field,JAVA,
UP,UP,,static field,JAVA,
DOWN,DOWN,,static field,JAVA,
LEFT,LEFT,,static field,JAVA,
RIGHT,RIGHT,,static field,JAVA,
ALT,ALT,,static field,JAVA,
CONTROL,CONTROL,,static field,JAVA,
SHIFT,SHIFT,,static field,JAVA,
PORTRAIT,PORTRAIT,,static field,SKIP,
LANDSCAPE,LANDSCAPE,,static field,SKIP,
SPAN,SPAN,,static field,JAVA,
ARROW,ARROW,,static field,JAVA,
CROSS,CROSS,,static field,JAVA,
HAND,HAND,,static field,JAVA,
MOVE,MOVE,,static field,JAVA,
TEXT,TEXT,,static field,JAVA,
WAIT,WAIT,,static field,JAVA,
ENABLE_NATIVE_FONTS,ENABLE_NATIVE_FONTS,,static field,JAVA,
DISABLE_NATIVE_FONTS,DISABLE_NATIVE_FONTS,,static field,JAVA,
DISABLE_DEPTH_TEST,DISABLE_DEPTH_TEST,,static field,JAVA,
ENABLE_DEPTH_TEST,ENABLE_DEPTH_TEST,,static field,JAVA,
ENABLE_DEPTH_SORT,ENABLE_DEPTH_SORT,,static field,JAVA,
DISABLE_DEPTH_SORT,DISABLE_DEPTH_SORT,,static field,JAVA,
DISABLE_OPENGL_ERRORS,DISABLE_OPENGL_ERRORS,,static field,JAVA,
ENABLE_OPENGL_ERRORS,ENABLE_OPENGL_ERRORS,,static field,JAVA,
DISABLE_DEPTH_MASK,DISABLE_DEPTH_MASK,,static field,JAVA,
ENABLE_DEPTH_MASK,ENABLE_DEPTH_MASK,,static field,JAVA,
DISABLE_OPTIMIZED_STROKE,DISABLE_OPTIMIZED_STROKE,,static field,JAVA,
ENABLE_OPTIMIZED_STROKE,ENABLE_OPTIMIZED_STROKE,,static field,JAVA,
ENABLE_STROKE_PERSPECTIVE,ENABLE_STROKE_PERSPECTIVE,,static field,JAVA,
DISABLE_STROKE_PERSPECTIVE,DISABLE_STROKE_PERSPECTIVE,,static field,JAVA,
DISABLE_TEXTURE_MIPMAPS,DISABLE_TEXTURE_MIPMAPS,,static field,JAVA,
ENABLE_TEXTURE_MIPMAPS,ENABLE_TEXTURE_MIPMAPS,,static field,JAVA,
ENABLE_STROKE_PURE,ENABLE_STROKE_PURE,,static field,JAVA,
DISABLE_STROKE_PURE,DISABLE_STROKE_PURE,,static field,JAVA,
ENABLE_BUFFER_READING,ENABLE_BUFFER_READING,,static field,JAVA,
DISABLE_BUFFER_READING,DISABLE_BUFFER_READING,,static field,JAVA,
DISABLE_KEY_REPEAT,DISABLE_KEY_REPEAT,,static field,JAVA,
ENABLE_KEY_REPEAT,ENABLE_KEY_REPEAT,,static field,JAVA,
DISABLE_ASYNC_SAVEFRAME,DISABLE_ASYNC_SAVEFRAME,,static field,JAVA,
ENABLE_ASYNC_SAVEFRAME,ENABLE_ASYNC_SAVEFRAME,,static field,JAVA,
HINT_COUNT,HINT_COUNT,,static field,SKIP,
format,format,,dynamic variable,SKIP,
pixels,pixels,,dynamic variable,SKIP,
pixel_density,pixelDensity,,dynamic variable,JAVA,
pixel_width,pixelWidth,,dynamic variable,JAVA,
pixel_height,pixelHeight,,dynamic variable,JAVA,
width,width,,dynamic variable,JAVA,
height,height,,dynamic variable,JAVA,
parent,parent,,dynamic variable,SKIP,
loaded,loaded,,dynamic variable,SKIP,
ALPHA_MASK,ALPHA_MASK,,static field,JAVA,
RED_MASK,RED_MASK,,static field,JAVA,
GREEN_MASK,GREEN_MASK,,static field,JAVA,
BLUE_MASK,BLUE_MASK,,static field,JAVA,
pixel_count,pixelCount,,dynamic variable,SKIP,
smooth,smooth,,method,JAVA,
R,R,,static field,SKIP,
G,G,,static field,SKIP,
B,B,,static field,SKIP,
A,A,,static field,SKIP,
U,U,,static field,SKIP,
V,V,,static field,SKIP,
NX,NX,,static field,SKIP,
NY,NY,,static field,SKIP,
NZ,NZ,,static field,SKIP,
EDGE,EDGE,,static field,SKIP,
SR,SR,,static field,SKIP,
SG,SG,,static field,SKIP,
SB,SB,,static field,SKIP,
SA,SA,,static field,SKIP,
SW,SW,,static field,SKIP,
TX,TX,,static field,SKIP,
TY,TY,,static field,SKIP,
TZ,TZ,,static field,SKIP,
VX,VX,,static field,SKIP,
VY,VY,,static field,SKIP,
VZ,VZ,,static field,SKIP,
VW,VW,,static field,SKIP,
AR,AR,,static field,SKIP,
AG,AG,,static field,SKIP,
AB,AB,,static field,SKIP,
DR,DR,,static field,SKIP,
DG,DG,,static field,SKIP,
DB,DB,,static field,SKIP,
DA,DA,,static field,SKIP,
SPR,SPR,,static field,SKIP,
SPG,SPG,,static field,SKIP,
SPB,SPB,,static field,SKIP,
SHINE,SHINE,,static field,SKIP,
ER,ER,,static field,SKIP,
EG,EG,,static field,SKIP,
EB,EB,,static field,SKIP,
BEEN_LIT,BEEN_LIT,,static field,SKIP,
HAS_NORMAL,HAS_NORMAL,,static field,SKIP,
VERTEX_FIELD_COUNT,VERTEX_FIELD_COUNT,,static field,SKIP,
color_mode,colorMode,,method,JAVA,
color_mode_x,colorModeX,,dynamic variable,SKIP,
color_mode_y,colorModeY,,dynamic variable,SKIP,
color_mode_z,colorModeZ,,dynamic variable,SKIP,
color_mode_a,colorModeA,,dynamic variable,SKIP,
tint,tint,@_convert_hex_color(),method,JAVA,
tint_color,tintColor,,dynamic variable,SKIP,
fill,fill,@_convert_hex_color(),method,JAVA,
fill_color,fillColor,,dynamic variable,SKIP,
stroke,stroke,@_convert_hex_color(),method,JAVA,
stroke_color,strokeColor,,dynamic variable,SKIP,
stroke_weight,strokeWeight,,method,JAVA,
stroke_join,strokeJoin,,method,JAVA,
stroke_cap,strokeCap,,method,JAVA,
rect_mode,rectMode,,method,JAVA,
ellipse_mode,ellipseMode,,method,JAVA,
shape_mode,shapeMode,,method,JAVA,
image_mode,imageMode,,method,JAVA,
text_font,textFont,,method,JAVA,
text_align,textAlign,,method,JAVA,
text_align_y,textAlignY,,dynamic variable,SKIP,
text_mode,textMode,,method,JAVA,
text_size,textSize,,method,JAVA,
text_leading,textLeading,,method,JAVA,
ambient_color,ambientColor,,dynamic variable,SKIP,
ambient_r,ambientR,,dynamic variable,SKIP,
ambient_g,ambientG,,dynamic variable,SKIP,
ambient_b,ambientB,,dynamic variable,SKIP,
set_ambient,setAmbient,,dynamic variable,SKIP,
specular_color,specularColor,,dynamic variable,SKIP,
specular_r,specularR,,dynamic variable,SKIP,
specular_g,specularG,,dynamic variable,SKIP,
specular_b,specularB,,dynamic variable,SKIP,
emissive_color,emissiveColor,,dynamic variable,SKIP,
emissive_r,emissiveR,,dynamic variable,SKIP,
emissive_g,emissiveG,,dynamic variable,SKIP,
emissive_b,emissiveB,,dynamic variable,SKIP,
shininess,shininess,,method,JAVA,
background_color,backgroundColor,,dynamic variable,SKIP,
image,image,,method,JAVA,
DEFAULT_VERTICES,DEFAULT_VERTICES,,static field,SKIP,
bezier_detail,bezierDetail,,method,JAVA,
curve_detail,curveDetail,,method,JAVA,
curve_tightness,curveTightness,,method,JAVA,
edge,edge,,method,SKIP,
normal_x,normalX,,dynamic variable,SKIP,
normal_y,normalY,,dynamic variable,SKIP,
normal_z,normalZ,,dynamic variable,SKIP,
texture_mode,textureMode,,method,JAVA,
texture_u,textureU,,dynamic variable,SKIP,
texture_v,textureV,,dynamic variable,SKIP,
texture_image,textureImage,,dynamic variable,SKIP,
sphere_detail_u,sphereDetailU,,dynamic variable,SKIP,
sphere_detail_v,sphereDetailV,,dynamic variable,SKIP,
wait,wait,,method,SKIP,public methods that shouldn't be available to users
equals,equals,,method,SKIP,user should use python instead
to_string,toString,,method,SKIP,public methods that shouldn't be available to users
hash_code,hashCode,,method,SKIP,public methods that shouldn't be available to users
get_class,getClass,,method,SKIP,public methods that shouldn't be available to users
notify,notify,,method,SKIP,public methods that shouldn't be available to users
notify_all,notifyAll,,method,SKIP,public methods that shouldn't be available to users
get_pixels,get,@_return_py5image,method,JAVA,
clone,clone,,method,SKIP,
apply_filter,filter,,method,JAVA,filter method has name conflict with python builtin function; replaced with apply_filter method
set_pixels,set,,method,JAVA,
init,init,,method,SKIP,
save,save,,method,PYTHON,implemented in pixels.py mixin
copy,copy,@_return_py5image,method,JAVA,
mask,mask,,method,JAVA,
resize,resize,,method,SKIP,
get_image,getImage,,method,SKIP,
get_native,getNative,,method,SKIP,
native,native,,unknown,SKIP,
is_modified,isModified,,method,SKIP,
modified,modified,,unknown,SKIP,
set_modified,setModified,,method,SKIP,
get_modified_x1,getModifiedX1,,method,SKIP,
modified_x1,modifiedX1,,unknown,SKIP,
get_modified_x2,getModifiedX2,,method,SKIP,
modified_x2,modifiedX2,,unknown,SKIP,
get_modified_y1,getModifiedY1,,method,SKIP,
modified_y1,modifiedY1,,unknown,SKIP,
get_modified_y2,getModifiedY2,,method,SKIP,
modified_y2,modifiedY2,,unknown,SKIP,
load_pixels,loadPixels,,method,JAVA,
update_pixels,updatePixels,,method,JAVA,
set_loaded,setLoaded,,method,SKIP,
check_alpha,checkAlpha,,method,SKIP,
blend_color,blendColor,,static method,SKIP,methods that are not part of the processing framework
blend,blend,,method,JAVA,
load_tiff,loadTIFF,,static method,SKIP,
load_tga,loadTGA,,static method,SKIP,
is_loaded,isLoaded,,method,SKIP,
clear,clear,,method,JAVA,
flush,flush,,method,JAVA,
box,box,,method,JAVA,
line,line,,method,JAVA,
scale,scale,,method,JAVA,
set_parent,setParent,,method,SKIP,
rotate,rotate,,method,JAVA,
text,text,@_text_fix_str,method,JAVA,
normal,normal,,method,JAVA,
red,red,@_convert_hex_color(),method,JAVA,
set_size,setSize,,method,SKIP,public methods that shouldn't be available to users
push,push,@_context_wrapper('pop'),method,JAVA,
pop,pop,,method,JAVA,
shear_x,shearX,,method,JAVA,
shear_y,shearY,,method,JAVA,
blend_mode,blendMode,,method,JAVA,
set_primary,setPrimary,,method,SKIP,
create_surface,createSurface,,method,SKIP,
set_cache,setCache,,method,SKIP,
get_cache,getCache,,method,SKIP,
remove_cache,removeCache,,method,SKIP,
begin_draw,beginDraw,@_context_wrapper('end_draw'),method,JAVA,
end_draw,endDraw,,method,JAVA,
begin_pgl,beginPGL,,method,SKIP,methods that are not part of the processing framework
end_pgl,endPGL,,method,SKIP,methods that are not part of the processing framework
hint,hint,,method,JAVA,
texture_wrap,textureWrap,,method,JAVA,
load_shape,loadShape,@_load_py5shape,method,JAVA,
load_shader,loadShader,@_load_py5shader,method,JAVA,
shader,shader,,method,JAVA,
reset_shader,resetShader,,method,JAVA,
clip,clip,,method,JAVA,
no_clip,noClip,,method,JAVA,
dispose,dispose,,method,SKIP,public methods that shouldn't be available to users
square,square,,method,JAVA,
circle,circle,,method,JAVA,
sphere_detail,sphereDetail,,method,JAVA,
bezier_point,bezierPoint,,method,JAVA,
bezier_tangent,bezierTangent,,method,JAVA,
bezier,bezier,,method,JAVA,
curve_point,curvePoint,,method,JAVA,
curve_tangent,curveTangent,,method,JAVA,
curve,curve,,method,JAVA,
no_smooth,noSmooth,,method,JAVA,
text_ascent,textAscent,,method,JAVA,
text_descent,textDescent,,method,JAVA,
text_width,textWidth,@_text_fix_str,method,JAVA,
get_matrix,getMatrix,@ _get_matrix_wrapper,method,JAVA,this and all of the matrix functions need to be re-implemented using numpy
set_matrix,setMatrix,,method,JAVA,this and all of the matrix functions need to be re-implemented using numpy
print_matrix,printMatrix,,method,JAVA,
begin_camera,beginCamera,@_context_wrapper('end_camera'),method,JAVA,
end_camera,endCamera,,method,JAVA,
camera,camera,,method,JAVA,
print_camera,printCamera,,method,JAVA,
ortho,ortho,,method,JAVA,
perspective,perspective,,method,JAVA,
frustum,frustum,,method,JAVA,
print_projection,printProjection,,method,JAVA,
screen_x,screenX,,method,JAVA,
screen_y,screenY,,method,JAVA,
screen_z,screenZ,,method,JAVA,
model_x,modelX,,method,JAVA,
model_y,modelY,,method,JAVA,
model_z,modelZ,,method,JAVA,
get_style,getStyle,,method,SKIP,
lights,lights,,method,JAVA,
no_lights,noLights,,method,JAVA,
ambient_light,ambientLight,,method,JAVA,
directional_light,directionalLight,,method,JAVA,
point_light,pointLight,,method,JAVA,
spot_light,spotLight,,method,JAVA,
light_falloff,lightFalloff,,method,JAVA,
light_specular,lightSpecular,,method,JAVA,
background,background,@_convert_hex_color(),method,JAVA,
green,green,@_convert_hex_color(),method,JAVA,
blue,blue,@_convert_hex_color(),method,JAVA,
hue,hue,@_convert_hex_color(),method,JAVA,
saturation,saturation,@_convert_hex_color(),method,JAVA,
brightness,brightness,@_convert_hex_color(),method,JAVA,
lerp_color,lerpColor,"@_return_color;@_convert_hex_color(indices=[0, 1])",method,JAVA,
begin_raw,beginRaw,@_context_wrapper('end_raw'),method,JAVA,
end_raw,endRaw,,method,JAVA,
have_raw,haveRaw,,method,SKIP,
get_raw,getRaw,,method,SKIP,
raw,raw,,unknown,SKIP,
show_depth_warning,showDepthWarning,,static method,SKIP,public methods that shouldn't be available to users
show_depth_warning_xyz,showDepthWarningXYZ,,static method,SKIP,public methods that shouldn't be available to users
show_method_warning,showMethodWarning,,static method,SKIP,public methods that shouldn't be available to users
show_variation_warning,showVariationWarning,,static method,SKIP,public methods that shouldn't be available to users
show_missing_warning,showMissingWarning,,static method,SKIP,public methods that shouldn't be available to users
displayable,displayable,,method,SKIP,
is_gl,isGL,,method,SKIP,
g_l,gL,,unknown,SKIP,
is2_x,is2X,,method,SKIP,
style,style,,method,SKIP,public methods that shouldn't be available to users
is3_d,is3D,,method,SKIP,
is2_d,is2D,,method,SKIP,
texture,texture,,method,JAVA,
no_texture,noTexture,,method,SKIP,
begin_contour,beginContour,@_context_wrapper('end_contour'),method,JAVA,
end_contour,endContour,,method,JAVA,
vertex,vertex,,method,JAVA,
attrib_position,attribPosition,,method,SKIP,methods that are not part of the processing framework
attrib_normal,attribNormal,,method,SKIP,methods that are not part of the processing framework
attrib_color,attribColor,,method,SKIP,methods that are not part of the processing framework
color,color,,method,PYTHON,
attrib,attrib,,method,SKIP,methods that are not part of the processing framework
begin_shape,beginShape,@_context_wrapper('end_shape'),method,JAVA,
begin_closed_shape,beginShape,"@_context_wrapper('end_shape', exit_attr_args=('CLOSE',))",method,JAVA,
end_shape,endShape,,method,JAVA,
no_fill,noFill,,method,JAVA,
alpha,alpha,@_convert_hex_color(),method,JAVA,
no_stroke,noStroke,,method,JAVA,
no_tint,noTint,,method,JAVA,
ambient,ambient,@_convert_hex_color(),method,JAVA,
specular,specular,@_convert_hex_color(),method,JAVA,
emissive,emissive,@_convert_hex_color(),method,JAVA,
bezier_vertex,bezierVertex,,method,JAVA,
quadratic_vertex,quadraticVertex,,method,JAVA,
curve_vertex,curveVertex,,method,JAVA,
create_shape,createShape,,method,PYTHON,implemented by me in Py5GraphicsHelper
shape,shape,,method,JAVA,
set_path,setPath,,method,SKIP,
translate,translate,,method,JAVA,
rotate_x,rotateX,,method,JAVA,
rotate_y,rotateY,,method,JAVA,
rotate_z,rotateZ,,method,JAVA,
reset_matrix,resetMatrix,,method,JAVA,
apply_matrix,applyMatrix,,method,JAVA,this and all of the matrix functions need to be re-implemented using numpy
show_warning,showWarning,,method,SKIP,
push_matrix,pushMatrix,@_context_wrapper('pop_matrix'),method,JAVA,
push_style,pushStyle,@_context_wrapper('pop_style'),method,JAVA,
pop_matrix,popMatrix,,method,JAVA,
pop_style,popStyle,,method,JAVA,
point,point,,method,JAVA,
triangle,triangle,,method,JAVA,
quad,quad,,method,JAVA,
rect,rect,,method,JAVA,
ellipse,ellipse,,method,JAVA,
arc,arc,,method,JAVA,
sphere,sphere,,method,JAVA,
show_exception,showException,,static method,SKIP,
load_np_pixels,,,method,PYTHON,like loadPixels but for np_pixels; implemented in pixels.py mixin
update_np_pixels,,,method,PYTHON,like updatePixels but for np_pixels; implemented in the pixels.py mixin
set_np_pixels,,,method,PYTHON,replaces data in the np_pixels array; implemented in the pixels.py mixin
get_np_pixels,,,method,PYTHON,gets data in the np_pixels array; implemented in the pixels.py mixin
to_pil,,,method,PYTHON,implemented in the pixels.py mixin
np_pixels,,,dynamic variable,PYTHON,numpy array containing pixel data
points,,,method,PYTHON,implemented by me in Py5GraphicsHelper
lines,,,method,PYTHON,implemented by me in Py5GraphicsHelper
vertices,,,method,PYTHON,implemented by me in Py5GraphicsHelper
bezier_vertices,,,method,PYTHON,implemented by me in Py5GraphicsHelper
curve_vertices,,,method,PYTHON,implemented by me in Py5GraphicsHelper
quadratic_vertices,,,method,PYTHON,implemented by me in Py5GraphicsHelper
next_page,nextPage,"@_name_renderer('PDF', 'processing.pdf.PGraphicsPDF')",optional method,JAVA,only for PGraphicsPDF
