py5_name,java_name,decorator,type,implementation,comments
ROUND,ROUND,,static field,SKIP,
PROJECT,PROJECT,,static field,SKIP,
MITER,MITER,,static field,SKIP,
BEVEL,BEVEL,,static field,SKIP,
AMBIENT,AMBIENT,,static field,SKIP,
DIRECTIONAL,DIRECTIONAL,,static field,SKIP,
SPOT,SPOT,,static field,SKIP,
BACKSPACE,BACKSPACE,,static field,SKIP,
TAB,TAB,,static field,SKIP,
ENTER,ENTER,,static field,SKIP,
RETURN,RETURN,,static field,SKIP,
ESC,ESC,,static field,SKIP,
DELETE,DELETE,,static field,SKIP,
CODED,CODED,,static field,SKIP,
UP,UP,,static field,SKIP,
DOWN,DOWN,,static field,SKIP,
LEFT,LEFT,,static field,SKIP,
RIGHT,RIGHT,,static field,SKIP,
ALT,ALT,,static field,SKIP,
CONTROL,CONTROL,,static field,SKIP,
SHIFT,SHIFT,,static field,SKIP,
PORTRAIT,PORTRAIT,,static field,SKIP,
LANDSCAPE,LANDSCAPE,,static field,SKIP,
SPAN,SPAN,,static field,SKIP,
ARROW,ARROW,,static field,SKIP,
CROSS,CROSS,,static field,SKIP,
HAND,HAND,,static field,SKIP,
MOVE,MOVE,,static field,SKIP,
TEXT,TEXT,,static field,SKIP,
WAIT,WAIT,,static field,SKIP,
ENABLE_NATIVE_FONTS,ENABLE_NATIVE_FONTS,,static field,SKIP,
DISABLE_NATIVE_FONTS,DISABLE_NATIVE_FONTS,,static field,SKIP,
DISABLE_DEPTH_TEST,DISABLE_DEPTH_TEST,,static field,SKIP,
ENABLE_DEPTH_TEST,ENABLE_DEPTH_TEST,,static field,SKIP,
ENABLE_DEPTH_SORT,ENABLE_DEPTH_SORT,,static field,SKIP,
DISABLE_DEPTH_SORT,DISABLE_DEPTH_SORT,,static field,SKIP,
DISABLE_OPENGL_ERRORS,DISABLE_OPENGL_ERRORS,,static field,SKIP,
ENABLE_OPENGL_ERRORS,ENABLE_OPENGL_ERRORS,,static field,SKIP,
DISABLE_DEPTH_MASK,DISABLE_DEPTH_MASK,,static field,SKIP,
ENABLE_DEPTH_MASK,ENABLE_DEPTH_MASK,,static field,SKIP,
DISABLE_OPTIMIZED_STROKE,DISABLE_OPTIMIZED_STROKE,,static field,SKIP,
ENABLE_OPTIMIZED_STROKE,ENABLE_OPTIMIZED_STROKE,,static field,SKIP,
ENABLE_STROKE_PERSPECTIVE,ENABLE_STROKE_PERSPECTIVE,,static field,SKIP,
DISABLE_STROKE_PERSPECTIVE,DISABLE_STROKE_PERSPECTIVE,,static field,SKIP,
DISABLE_TEXTURE_MIPMAPS,DISABLE_TEXTURE_MIPMAPS,,static field,SKIP,
ENABLE_TEXTURE_MIPMAPS,ENABLE_TEXTURE_MIPMAPS,,static field,SKIP,
ENABLE_STROKE_PURE,ENABLE_STROKE_PURE,,static field,SKIP,
DISABLE_STROKE_PURE,DISABLE_STROKE_PURE,,static field,SKIP,
ENABLE_BUFFER_READING,ENABLE_BUFFER_READING,,static field,SKIP,
DISABLE_BUFFER_READING,DISABLE_BUFFER_READING,,static field,SKIP,
DISABLE_KEY_REPEAT,DISABLE_KEY_REPEAT,,static field,SKIP,
ENABLE_KEY_REPEAT,ENABLE_KEY_REPEAT,,static field,SKIP,
DISABLE_ASYNC_SAVEFRAME,DISABLE_ASYNC_SAVEFRAME,,static field,SKIP,
ENABLE_ASYNC_SAVEFRAME,ENABLE_ASYNC_SAVEFRAME,,static field,SKIP,
HINT_COUNT,HINT_COUNT,,static field,SKIP,
BICUBIC,BICUBIC,,static field,SKIP,
BILINEAR,BILINEAR,,static field,SKIP,
NEAREST_NEIGHBOR,NEAREST_NEIGHBOR,,static field,SKIP,
CHARSET,CHARSET,,static field,PYTHON,
wait,wait,,method,SKIP,
equals,equals,,method,SKIP,
to_string,toString,,method,SKIP,
hash_code,hashCode,,method,SKIP,
get_class,getClass,,method,SKIP,
notify,notify,,method,SKIP,
notify_all,notifyAll,,method,SKIP,
get_name,getName,@_ret_str,method,JAVA,
name,name,,unknown,SKIP,
find_native,findNative,,method,SKIP,
list,list,@_return_list_str,static method,JAVA,
save,save,,method,SKIP,
get_size,getSize,,method,JAVA,
size,size,,unknown,SKIP,
find_font,findFont,,static method,SKIP,
get_native,getNative,,method,SKIP,
native,native,,unknown,SKIP,
width,width,,method,JAVA,
ascent,ascent,,method,JAVA,
descent,descent,,method,JAVA,
get_default_size,getDefaultSize,,method,JAVA,
default_size,defaultSize,,unknown,SKIP,
get_glyph,getGlyph,,method,SKIP,
set_native,setNative,,method,SKIP,
get_post_script_name,getPostScriptName,@_ret_str,method,JAVA,
post_script_name,postScriptName,,unknown,SKIP,
get_font,getFont,,method,SKIP,deprecated
font,font,,unknown,SKIP,
is_smooth,isSmooth,,method,JAVA,
smooth,smooth,,unknown,SKIP,
is_stream,isStream,,method,SKIP,
stream,stream,,unknown,SKIP,
set_subsetting,setSubsetting,,method,SKIP,
kern,kern,,method,SKIP,
get_glyph_count,getGlyphCount,,method,JAVA,
glyph_count,glyphCount,,unknown,SKIP,
get_shape,getShape,@_return_py5shape,method,JAVA,
load_fonts,loadFonts,,static method,SKIP,
